Date,Close/Last,Volume,Open,Hight,Low
2021-03-18,120.53,121469800,122.88,123.18,120.32
2021-03-17,124.76,111932600,124.05,125.8599,122.336
2021-03-16,125.57,115227900,125.7,127.22,124.715
2021-03-15,123.99,92590560,121.41,124.0,120.42
2021-12-03,121.03,88105050,120.4,121.17,119.16
2021-11-03,121.96,103026500,122.54,123.21,121.26
2021-10-03,119.98,111943300,121.69,122.17,119.45
2021-09-03,121.085,129525800,119.03,122.06,118.79
2021-08-03,116.36,154376600,120.93,121.0,116.21
2021-05-03,121.42,153766600,120.98,121.935,117.57
2021-04-03,120.13,178155000,121.75,123.6,118.62
2021-03-03,122.06,112966300,124.81,125.71,121.84
2021-02-03,125.12,102260900,128.41,128.72,125.01
2021-01-03,127.79,116307900,123.75,127.93,122.79
2021-02-26,121.26,164560400,122.59,124.85,121.2
2021-02-25,120.99,148199500,124.68,126.4585,120.54
2021-02-24,125.35,111039900,124.94,125.56,122.23
2021-02-23,125.86,158273000,123.76,126.71,118.39
2021-02-22,126.0,103916400,128.01,129.72,125.6
2021-02-19,129.87,87668830,130.24,130.71,128.8
2021-02-18,129.71,96856750,129.2,129.995,127.41
2021-02-17,130.84,98085250,131.25,132.22,129.47
2021-02-16,133.19,80576320,135.49,136.01,132.79
2021-12-02,135.37,60145130,134.35,135.53,133.6921
2021-11-02,135.13,64280030,135.9,136.39,133.77
2021-10-02,135.39,73046560,136.48,136.99,134.4
2021-09-02,136.01,76774210,136.62,137.877,135.85
2021-08-02,136.91,71297210,136.03,136.96,134.92
2021-05-02,136.76,75693830,137.35,137.42,135.86
2021-04-02,137.39,84183060,136.3,137.4,134.59
2021-03-02,133.94,89880940,135.76,135.77,133.61
2021-02-02,134.99,83305370,135.73,136.31,134.61
2021-01-02,134.14,106239800,133.75,135.38,130.93
2021-01-29,131.96,177523800,135.83,136.74,130.21
2021-01-28,137.09,142621100,139.52,141.99,136.7
2021-01-27,142.06,140843800,143.43,144.3,140.41
2021-01-26,143.16,98390560,143.6,144.3,141.37
2021-01-25,142.92,157611700,143.07,145.09,136.54
2021-01-22,139.07,114459400,136.28,139.85,135.02
2021-01-21,136.87,120529500,133.8,139.67,133.59
2021-01-20,132.03,104319500,128.66,132.49,128.55
2021-01-19,127.83,90757330,127.78,128.71,126.938
2021-01-15,127.14,111598500,128.78,130.2242,127.0
2021-01-14,128.91,90221760,130.8,131.0,128.76
2021-01-13,130.89,88636830,128.76,131.45,128.49
2021-12-01,128.8,91951150,128.5,129.69,126.86
2021-11-01,128.98,100620900,129.19,130.17,128.5
2021-08-01,132.05,105158200,132.43,132.63,130.23
2021-07-01,130.92,109578200,128.36,131.63,127.86
2021-06-01,126.6,155088000,127.72,131.0499,126.382
2021-05-01,131.01,97664900,128.89,131.74,128.43
2021-04-01,129.41,143301900,133.52,133.6116,126.76
2020-12-31,132.69,99116590,134.08,134.74,131.72
2020-12-30,133.72,96452120,135.58,135.99,133.4
2020-12-29,134.87,121047300,138.05,138.789,134.3409
2020-12-28,136.69,124486200,133.99,137.34,133.51
2020-12-24,131.97,54930060,131.32,133.46,131.1
2020-12-23,130.96,88223690,132.16,132.43,130.78
2020-12-22,131.88,169351800,131.61,134.405,129.65
2020-12-21,128.23,121251600,125.02,128.31,123.449
2020-12-18,126.655,192541500,128.96,129.1,126.12
2020-12-17,128.7,94359810,128.9,129.58,128.045
2020-12-16,127.81,98208590,127.41,128.37,126.56
2020-12-15,127.88,157572300,124.34,127.9,124.13
2020-12-14,121.78,79075990,122.6,123.35,121.54
2020-11-12,122.41,86939790,122.43,122.76,120.55
2020-10-12,123.24,81312170,120.5,123.87,120.15
2020-09-12,121.78,115089200,124.53,125.95,121.0
2020-08-12,124.38,82225510,124.37,124.98,123.09
2020-07-12,123.75,86711990,122.31,124.57,122.25
2020-04-12,122.25,78260420,122.6,122.8608,121.52
2020-03-12,122.94,78967630,123.52,123.78,122.21
2020-02-12,123.08,89004200,122.02,123.37,120.89
2020-01-12,122.72,128166800,121.01,123.4693,120.01
2020-11-30,119.05,169410200,116.97,120.97,116.81
2020-11-27,116.59,46691330,116.57,117.49,116.22
2020-11-25,116.03,76499230,115.55,116.75,115.17
2020-11-24,115.17,113874200,113.91,115.85,112.59
2020-11-23,113.85,127959300,117.18,117.6202,113.75
2020-11-20,117.34,73604290,118.64,118.77,117.29
2020-11-19,118.64,74112970,117.59,119.06,116.81
2020-11-18,118.03,76322110,118.61,119.82,118.0
2020-11-17,119.39,74270970,119.55,120.6741,118.96
2020-11-16,120.3,91183020,118.92,120.99,118.146
2020-11-13,119.26,81688590,119.44,119.6717,117.87
2020-12-11,119.21,103350700,119.62,120.53,118.57
2020-11-11,119.49,112295000,117.19,119.63,116.44
2020-10-11,115.97,138023400,115.55,117.59,114.13
2020-09-11,116.32,154515300,120.5,121.99,116.05
2020-06-11,118.69,114457900,118.32,119.2,116.13
2020-05-11,119.03,126387100,117.95,119.62,116.8686
2020-04-11,114.95,138235500,114.14,115.59,112.35
2020-03-11,110.44,107624400,109.66,111.49,108.73
2020-02-11,108.77,122866900,109.11,110.68,107.32
2020-10-30,108.86,190573500,111.06,111.99,107.72
2020-10-29,115.32,146129200,112.37,116.93,112.2
2020-10-28,111.2,143937800,115.05,115.43,111.1
2020-10-27,116.6,92276770,115.49,117.28,114.5399
2020-10-26,115.05,111850700,114.01,116.55,112.88
2020-10-23,115.04,82572650,116.39,116.55,114.28
2020-10-22,115.75,101988000,117.45,118.04,114.59
2020-10-21,116.87,89945980,116.67,118.705,116.45
2020-10-20,117.51,124423700,116.2,118.98,115.63
2020-10-19,115.98,120639300,119.96,120.419,115.66
2020-10-16,119.02,115393800,121.28,121.548,118.81
2020-10-15,120.71,112559200,118.72,121.2,118.15
2020-10-14,121.19,151062300,121.0,123.03,119.62
2020-10-13,121.1,262330500,125.27,125.39,119.65
2020-12-10,124.4,240226800,120.06,125.18,119.2845
2020-09-10,116.97,100506900,115.28,117.0,114.92
2020-08-10,114.97,83477150,116.25,116.4,114.5901
2020-07-10,115.08,96848990,114.62,115.55,114.13
2020-06-10,113.16,161498200,115.7,116.12,112.25
2020-05-10,116.5,106243800,113.91,116.65,113.55
2020-02-10,113.02,144712000,112.89,115.37,112.22
2020-01-10,116.79,116120400,117.64,117.72,115.83
2020-09-30,115.81,142675200,113.79,117.26,113.62
2020-09-29,114.09,100060500,114.55,115.31,113.57
2020-09-28,114.96,137672400,115.01,115.32,112.78
2020-09-25,112.28,149981400,108.43,112.44,107.67
2020-09-24,108.22,167743300,105.17,110.25,105.0
2020-09-23,107.12,150718700,111.62,112.11,106.77
2020-09-22,111.81,183055400,112.68,112.86,109.16
2020-09-21,110.08,195713800,104.54,110.19,103.1
2020-09-18,106.84,287104900,110.4,110.88,106.09
2020-09-17,110.34,178011000,109.72,112.2,108.71
2020-09-16,112.13,155026700,115.23,116.0,112.04
2020-09-15,115.54,184642000,118.33,118.829,113.61
2020-09-14,115.355,140150100,114.72,115.93,112.8
2020-11-09,112.0,180860300,114.57,115.23,110.0
2020-10-09,113.49,182274400,120.36,120.5,112.5
2020-09-09,117.32,176940500,117.26,119.14,115.26
2020-08-09,112.82,231366600,113.95,118.99,112.68
2020-04-09,120.96,332607200,120.07,123.7,110.89
2020-03-09,120.88,257599600,126.91,128.84,120.5
2020-02-09,131.4,200119000,137.59,137.98,127.0
2020-01-09,134.18,152470100,132.76,134.8,130.53
2020-08-31,129.04,225702700,127.58,131.0,126.0
2020-08-28,124.8075,187629920,126.0125,126.4425,124.5775
2020-08-27,125.01,155552400,127.1425,127.485,123.8325
2020-08-26,126.5225,163022280,126.1793,126.9925,125.0825
2020-08-25,124.825,211495800,124.6975,125.1793,123.0525
2020-08-24,125.8575,345937760,128.6975,128.785,123.9363
2020-08-21,124.37,338054640,119.2625,124.868,119.25
2020-08-20,118.275,126907200,115.75,118.392,115.7334
2020-08-19,115.7075,145538000,115.9833,117.1625,115.61
2020-08-18,115.5625,105633560,114.3525,116.0,114.0075
2020-08-17,114.6075,119561440,116.0625,116.0875,113.9625
2020-08-14,114.9075,165565200,114.8288,115.0,113.045
2020-08-13,115.01,210082080,114.43,116.0425,113.9275
2020-12-08,113.01,165944840,110.4975,113.275,110.2975
2020-11-08,109.375,187902360,111.9688,112.4825,109.1067
2020-10-08,112.7275,212403440,112.6,113.775,110.0
2020-07-08,111.1125,198045600,113.205,113.675,110.2925
2020-06-08,113.9025,202428920,110.405,114.4125,109.7975
2020-05-08,110.0625,121991960,109.3775,110.3925,108.8975
2020-04-08,109.665,172792360,109.1325,110.79,108.3875
